created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2022-09-03T01:35:00+05:30,1,28.06250,0,40,7.22011,,,,
2022-09-03T01:35:22+05:30,2,28.06250,0,39,7.19883,,,,
2022-09-03T01:35:42+05:30,3,28.06250,30,48,6.98077,,,,
2022-09-03T01:36:04+05:30,4,28.06250,100,46,7.06055,,,,
2022-09-03T01:36:25+05:30,5,28.06250,0,43,7.02066,,,,
2022-09-03T01:36:45+05:30,6,28.06250,81,38,7.04725,,,,
2022-09-03T01:37:07+05:30,7,28.06250,11,42,6.98343,,,,
2022-09-03T01:37:29+05:30,8,28.12500,65,48,7.02066,,,,
2022-09-03T01:37:50+05:30,9,28.12500,100,39,6.94886,,,,
2022-09-03T01:38:11+05:30,10,28.06250,52,41,7.21479,,,,
2022-09-03T01:38:31+05:30,11,28.12500,77,46,6.78930,,,,
2022-09-03T01:38:52+05:30,12,28.12500,27,39,6.65367,,,,
2022-09-03T01:39:13+05:30,13,28.12500,0,39,6.68558,,,,
2022-09-03T01:39:35+05:30,14,28.06250,54,42,6.65633,,,,
2022-09-03T01:39:56+05:30,15,28.06250,0,49,7.02066,,,,
2022-09-03T01:40:17+05:30,16,28.12500,36,42,6.76270,,,,
2022-09-03T01:41:16+05:30,17,27.93750,0,62,4.00231,,,,
2022-09-03T01:41:38+05:30,18,28.06250,100,64,2.22055,,,,
2022-09-03T01:42:00+05:30,19,28.00000,0,60,6.47018,,,,
2022-09-03T01:42:16+05:30,20,28.06250,100,60,6.66165,,,,
2022-09-03T01:42:34+05:30,21,28.12500,0,48,6.90099,,,,
2022-09-03T01:42:54+05:30,22,28.06250,100,57,6.41167,,,,
2022-09-03T01:43:17+05:30,23,28.06250,0,52,6.95418,,,,
2022-09-03T01:43:34+05:30,24,28.06250,24,47,6.46220,,,,
2022-09-03T01:44:07+05:30,25,28.31250,100,66,6.60048,,,,
2022-09-03T01:44:23+05:30,26,28.06250,50,61,6.31593,,,,
2022-09-03T01:44:43+05:30,27,28.06250,0,56,6.61112,,,,
2022-09-03T01:45:00+05:30,28,28.06250,98,59,6.22552,,,,
2022-09-03T01:45:21+05:30,29,28.18750,26,57,6.55262,,,,
2022-09-03T01:45:39+05:30,30,28.06250,33,47,6.16967,,,,
2022-09-03T01:46:01+05:30,31,28.18750,100,48,5.82130,,,,
2022-09-03T01:46:18+05:30,32,28.06250,82,48,6.50741,,,,
2022-09-03T01:46:43+05:30,33,28.06250,100,43,6.28934,,,,
2022-09-03T01:47:05+05:30,34,28.18750,0,59,6.10319,,,,
2022-09-03T01:47:21+05:30,35,28.12500,100,58,6.08457,,,,
2022-09-03T01:47:43+05:30,36,28.37500,0,39,6.03404,,,,
2022-09-03T01:48:04+05:30,37,28.31250,100,61,5.93033,,,,
2022-09-03T01:48:25+05:30,38,28.06250,0,43,6.28934,,,,
2022-09-03T01:48:47+05:30,39,28.18750,100,52,5.91437,,,,
2022-09-03T01:49:08+05:30,40,28.06250,26,48,6.23083,,,,
2022-09-03T01:49:29+05:30,41,28.12500,33,49,5.90905,,,,
2022-09-03T01:49:51+05:30,42,28.06250,56,40,6.28402,,,,
2022-09-03T01:50:11+05:30,43,28.25000,100,43,5.81332,,,,
2022-09-03T01:50:29+05:30,44,28.06250,100,51,5.82927,,,,
2022-09-03T01:50:50+05:30,45,28.06250,100,43,5.96490,,,,
2022-09-03T01:51:11+05:30,46,28.06250,0,48,5.62716,,,,
2022-09-03T01:51:32+05:30,47,28.06250,49,60,6.07127,,,,
2022-09-03T01:51:53+05:30,48,28.06250,0,41,6.04468,,,,
2022-09-03T01:52:15+05:30,49,28.00000,0,51,5.94363,,,,
2022-09-03T01:52:38+05:30,50,28.06250,0,52,5.64578,,,,
2022-09-03T01:52:59+05:30,51,28.06250,0,44,5.86385,,,,
2022-09-03T01:53:14+05:30,52,28.00000,51,45,5.40378,,,,
2022-09-03T01:53:34+05:30,53,28.00000,95,51,5.31868,,,,
2022-09-03T01:53:55+05:30,54,28.06250,0,39,5.85321,,,,
2022-09-03T01:54:16+05:30,55,28.06250,0,51,5.82927,,,,
2022-09-03T01:54:37+05:30,56,28.06250,7,56,5.61653,,,,
2022-09-03T01:54:58+05:30,57,28.00000,0,42,5.13785,,,,
2022-09-03T01:55:22+05:30,58,28.06250,93,57,5.70163,,,,
2022-09-03T01:55:42+05:30,59,28.06250,0,44,5.61653,,,,
2022-09-03T01:56:03+05:30,60,28.06250,0,42,5.70694,,,,
2022-09-03T01:56:24+05:30,61,28.06250,100,42,5.48888,,,,
2022-09-03T01:56:45+05:30,62,28.06250,65,58,5.22029,,,,
2022-09-03T01:57:06+05:30,63,28.06250,100,48,5.50749,,,,
2022-09-03T01:57:27+05:30,64,28.06250,92,47,5.65642,,,,
2022-09-03T01:57:48+05:30,65,28.06250,0,47,5.47558,,,,
